gpt-5.6-terra	506	87	13
gpt-5.6-terra	452	96	13
gpt-5.6-terra	472	105	13
gpt-5.6-terra	488	104	19
gpt-5.6-terra	516	102	13
gpt-5.6-terra	530	105	15
gpt-5.6-terra	532	131	23
gpt-5.6-terra	538	105	14
gpt-5.6-terra	482	97	13
gpt-5.6-terra	518	121	26
gpt-5.6-terra	492	119	14
gpt-5.6-terra	474	92	15
gpt-5.6-terra	1989	121	52
gpt-5.6-terra	2003	131	53
gpt-5.6-terra	2067	126	39
gpt-5.6-terra	2004	169	97
gpt-5.6-terra	1884	174	101
gpt-5.6-terra	472	146	50
gpt-5.6-terra	2085	129	51
gpt-5.6-terra	2165	170	75
gpt-5.6-terra	2168	93	8
gpt-5.6-terra	1902	108	29
gpt-5.6-terra	1947	108	31
gpt-5.6-terra	2027	175	73
gpt-5.6-terra	1978	113	36
gpt-5.6-terra	2563	68	15
gpt-5.6-terra	2079	112	45
gpt-5.6-terra	3570	144	58
gpt-5.6-terra	2390	203	127
gpt-5.6-terra	2364	94	23
gpt-5.6-terra	1928	111	28
gpt-5.6-terra	2592	126	58
gpt-5.6-terra	2857	159	79
gpt-5.6-terra	2820	120	44
gpt-5.6-terra	3467	172	99
gpt-5.6-terra	2760	57	10
gpt-5.6-terra	3879	229	117
gpt-5.6-terra	3630	157	58
gpt-5.6-terra	2997	129	40
gpt-5.6-terra	2910	118	28
gpt-5.6-terra	4225	126	39
gpt-5.6-terra	3030	92	9
gpt-5.6-terra	2752	94	23
gpt-5.6-terra	2741	118	51
gpt-5.6-terra	3018	113	9
gpt-5.6-terra	3751	95	23
gpt-5.6-terra	446	71	13
gpt-5.6-terra	444	100	27
gpt-5.6-terra	4015	100	37
gpt-5.6-terra	2761	113	44
gpt-5.6-terra	4461	112	35
gpt-5.6-terra	3676	250	168
gpt-5.6-terra	2889	84	11
gpt-5.6-terra	5727	180	70
gpt-5.6-terra	4411	217	133
gpt-5.6-terra	552	101	13
gpt-5.6-terra	5727	91	25
gpt-5.6-terra	482	98	13
gpt-5.6-terra	4637	122	32
gpt-5.6-terra	3218	242	126
gpt-5.6-terra	4193	129	37
gpt-5.6-terra	3885	93	11
gpt-5.6-terra	1824	95	25
gpt-5.6-terra	1865	200	135
gpt-5.6-terra	4224	121	32
gpt-5.6-terra	5365	104	22
gpt-5.6-terra	2049	117	28
gpt-5.6-terra	1817	113	44
gpt-5.6-terra	5675	125	26
gpt-5.6-terra	2364	106	46
gpt-5.6-terra	5404	113	40
gpt-5.6-terra	4277	252	153
gpt-5.6-terra	6053	98	37
gpt-5.6-terra	7573	108	30
gpt-5.6-terra	490	89	14
gpt-5.6-terra	6260	87	17
gpt-5.6-terra	2623	95	26
gpt-5.6-terra	2466	146	74
gpt-5.6-terra	2843	72	21
gpt-5.6-terra	4605	81	8
gpt-5.6-terra	2159	77	29
gpt-5.6-terra	6707	76	17
gpt-5.6-terra	5635	97	24
gpt-5.6-terra	3415	52	11
gpt-5.6-terra	1975	116	40
gpt-5.6-terra	5937	147	67
gpt-5.6-terra	4527	195	95
gpt-5.6-terra	3312	73	18
gpt-5.6-terra	2850	157	88
gpt-5.6-terra	7528	94	20
gpt-5.6-terra	562	103	30
gpt-5.6-terra	4177	98	36
gpt-5.6-terra	4678	70	10
gpt-5.6-terra	4753	149	61
gpt-5.6-terra	6338	130	49
gpt-5.6-terra	484	94	13
gpt-5.6-terra	3053	113	36
gpt-5.6-terra	6897	168	119
gpt-5.6-terra	7784	101	35
gpt-5.6-terra	7845	73	23
gpt-5.6-terra	2019	97	25
gpt-5.6-terra	4864	107	28
gpt-5.6-terra	7455	213	130
gpt-5.6-terra	494	105	14
gpt-5.6-terra	6048	116	27
gpt-5.6-terra	7036	102	21
gpt-5.6-terra	7877	64	16
gpt-5.6-terra	4506	127	50
gpt-5.6-terra	2457	48	10
gpt-5.6-terra	5820	140	45
gpt-5.6-terra	2033	148	50
gpt-5.6-terra	3257	162	68
gpt-5.6-terra	2546	102	33
gpt-5.6-terra	7733	65	13
gpt-5.6-terra	9309	80	17
gpt-5.6-terra	5042	109	18
gpt-5.6-terra	3055	66	11
gpt-5.6-terra	4543	70	16
gpt-5.6-terra	2004	110	37
gpt-5.6-terra	8842	168	62
gpt-5.6-terra	494	85	13
gpt-5.6-terra	8055	121	36
gpt-5.6-terra	5025	119	45
gpt-5.6-terra	4933	94	23
gpt-5.6-terra	5577	85	19
gpt-5.6-terra	504	107	14
gpt-5.6-terra	2307	77	15
gpt-5.6-terra	1882	105	27
gpt-5.6-terra	506	126	39
gpt-5.6-terra	2542	117	39
gpt-5.6-terra	10238	77	16
gpt-5.6-terra	532	111	15
gpt-5.6-terra	7973	99	9
gpt-5.6-terra	2595	64	0
gpt-5.6-terra	1953	181	80
gpt-5.6-terra	7663	121	37
gpt-5.6-terra	6418	211	124
gpt-5.6-terra	3427	129	45
gpt-5.6-terra	9632	129	76
gpt-5.6-terra	9073	121	45
gpt-5.6-terra	2118	133	37
gpt-5.6-terra	1944	207	122
gpt-5.6-terra	474	80	13
gpt-5.6-terra	7107	100	21
gpt-5.6-terra	2333	90	24
gpt-5.6-terra	7069	74	19
gpt-5.6-terra	3014	72	16
gpt-5.6-terra	3660	103	46
gpt-5.6-terra	2275	86	15
gpt-5.6-terra	1987	113	18
gpt-5.6-terra	2516	68	27
gpt-5.6-terra	506	114	14
gpt-5.6-terra	502	97	13
gpt-5.6-terra	2635	178	85
gpt-5.6-terra	466	89	19
gpt-5.6-terra	9945	70	16
gpt-5.6-terra	5182	109	30
gpt-5.6-terra	7214	189	126
gpt-5.6-terra	1894	148	76
gpt-5.6-terra	6406	131	52
gpt-5.6-terra	2038	106	15
gpt-5.6-terra	6713	144	59
gpt-5.6-terra	3134	249	171
gpt-5.6-terra	7358	122	28
gpt-5.6-terra	2223	97	34
gpt-5.6-terra	7903	112	43
gpt-5.6-terra	9438	169	72
gpt-5.6-terra	8377	96	26
gpt-5.6-terra	2552	94	25
gpt-5.6-terra	2765	85	30
gpt-5.6-terra	2009	109	33
gpt-5.6-terra	2539	58	17
gpt-5.6-terra	8250	142	53
gpt-5.6-terra	3335	160	55
gpt-5.6-terra	3075	59	10
gpt-5.6-terra	478	85	15
gpt-5.6-terra	8768	245	157
gpt-5.6-terra	3440	91	30
gpt-5.6-terra	2587	67	11
gpt-5.6-terra	466	102	13
gpt-5.6-terra	11957	86	27
gpt-5.6-terra	472	102	23
gpt-5.6-terra	1896	113	49
gpt-5.6-terra	4163	126	44
gpt-5.6-terra	9792	163	90
gpt-5.6-terra	9181	137	51
gpt-5.6-terra	4122	142	68
gpt-5.6-terra	1919	120	33
gpt-5.6-terra	2026	194	116
gpt-5.6-terra	2910	110	32
gpt-5.6-terra	13520	103	30
gpt-5.6-terra	2833	113	47
gpt-5.6-terra	6306	90	14
gpt-5.6-terra	9498	118	22
gpt-5.6-terra	9978	107	46
gpt-5.6-terra	9349	104	15
gpt-5.6-terra	3935	62	19
gpt-5.6-terra	7078	217	138
gpt-5.6-terra	3085	127	25
gpt-5.6-terra	13898	96	23
gpt-5.6-terra	4901	197	115
gpt-5.6-terra	4306	97	19
gpt-5.6-terra	2820	181	80
gpt-5.6-terra	3162	79	25
gpt-5.6-terra	482	109	25
gpt-5.6-terra	12037	152	66
gpt-5.6-terra	3623	87	19
gpt-5.6-terra	4253	93	20
gpt-5.6-terra	14272	70	16
gpt-5.6-terra	8443	219	133
gpt-5.6-terra	5539	113	19
gpt-5.6-terra	5719	125	45
gpt-5.6-terra	500	98	13
gpt-5.6-terra	11245	303	208
gpt-5.6-terra	480	104	14
gpt-5.6-terra	484	93	17
